Sample Name,Sample ID,Waste Stream Source,Year collected,Analyst,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
comp city 2006 1.1,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.72,,38.42,,0.29,,0.01,2.29,,0.01,13.41,,0.02,0.27,,0,0.33,,0,0.02,,0,0.9,,0.01,3.2,,0.01,1943,,14,< 19,,-15,69.7,,5.8,799,,11,1.66,,0,< 16,,-11,18.6,,1.1,79.6,,1.7,331.6,,2.5,< 4.2,,-1.4,5.9,,0.3,42.6,,0.5,156.6,,0.8,250.3,,2.1
comp city 2006 1.2,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.72,,34.69,,0.29,,0.01,2.21,,0.01,12.37,,0.02,0.27,,0,0.34,,0,0.01,,0,0.87,,0.01,3.41,,0.01,1841,,14,28.5,,5.7,61.6,,5.7,861,,11,1.68,,0,17.5,,4.5,20.3,,1.1,72.1,,1.6,362.4,,2.6,< 4.3,,-3.5,6.4,,0.3,42.7,,0.5,161.3,,0.8,265,,2.1
Comp city 2006 1.3,Boston City Compost 2006,Municipal ,2006,Pre2018,BULK,Tqk59304,2/18/2011,6.86,,33.7,,0.33,0.02,0.01,2.2,,0.01,12.52,,0.02,0.27,,0,0.34,,0,0.01,,0,0.86,0.02,0.01,3.34,0.11,0.01,1789,78.34,13,18.9,6.79,4.6,63.2,4.29,5.7,785,40.45,11,1.64,0.02,0,18.8,0.92,4.6,19.7,0.86,1.2,79.7,4.36,1.7,330.7,18.05,2.5,< 4.1,#DIV/0!,-1.7,5.9,0.29,0.3,42,0.38,0.5,153.3,4.02,0.8,244.8,10.44,2.1
comp city 2008 1.1,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,7.13,,27.66,,0.26,,0.01,3.2,,0.01,17.33,,0.02,0.3,,0,0.32,,0,0.05,,0,1.19,,0.01,3.27,,0.01,2484,,17,31.5,,6.9,74.7,,6.5,818,,12,2.06,,0.01,< 19,,-13,26.4,,1.3,134.2,,2.3,419.4,,3,< 4.9,,-1.3,6.6,,0.3,48.6,,0.5,171,,0.9,303.4,,2.5
Comp city 2008 1.2,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,7.13,,28.34,,0.32,,0.01,2.8,,0.01,14.58,,0.02,0.3,,0,0.36,,0,0.06,,0,1.08,,0.01,3.86,,0.01,2259,,16,< 22,,-16,77.2,,6.4,877,,12,1.96,,0,18.4,,4.9,26.5,,1.3,163.1,,2.4,457.9,,3.1,< 5.1,,-1.3,7.2,,0.3,46,,0.5,171.4,,0.9,328.1,,2.5
comp city 2008 1.3,Boston City Compost 2008,Municipal ,2008,Pre2018,BULK,Tqk59304,2/18/2011,6.55,,28.5,,0.34,0.04,0.01,2.94,0.2,0.01,14.99,1.48,0.02,0.31,0,0,0.35,0.02,0,0.05,0,0,1.14,0.06,0.01,3.75,0.31,0.01,2317,116.82,16,< 22,#DIV/0!,-18,90.4,8.44,6.7,877,34.06,12,2.04,0.05,0.01,19.4,0.71,5.1,29.3,1.65,1.4,134.7,16.54,2.2,441.5,19.32,3.1,< 5.0,#DIV/0!,0,7,0.31,0.3,48.1,1.38,0.5,171.1,0.21,0.9,317.2,12.38,2.5
BU P1 A1,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.34,,65.5,,0.27,,0.01,0.99,,0.01,6.88,,0.01,0.21,,0,0.34,,0,0.02,,0,0.39,,0,3.88,,0.01,1236,,10,0,,-12,37.7,,4.2,704.3,,8.7,0.78,,0,< 10,,-8.8,10.9,,0.8,37.3,,1,270.3,,1.9,< 3.2,,0,8,,0.2,22.7,,0.3,161.6,,0.7,191,,1.6
BU P1 A2,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,5.27,,64.1,,0.29,,0.01,1.16,,0.01,6.62,,0.01,0.22,,0,0.32,,0,0.02,,0,0.41,,0,3.29,,0.01,1012,,9,19.3,,3.7,40.8,,4.2,713.8,,8.7,0.9,,0,< 10,,-8.4,12.7,,0.8,38.4,,1,262.8,,1.9,< 3.3,,0,7.1,,0.2,24.1,,0.3,141.4,,0.7,201.9,,1.6
BU P1 A3,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.12,,61.4,,0.26,,0.01,0.95,,0.01,6.18,,0.01,0.19,,0,0.34,,0,0.01,,0,0.28,,0,4.01,,0.01,824.4,,8,0,,-10,43.8,,4.2,747.2,,8.9,0.74,,0,12.1,,3,10.2,,0.8,45.8,,1.1,329.1,,2.1,< 3.5,,-2.7,56.3,,0.5,24.3,,0.4,166.9,,0.7,231.6,,1.7
BU P1 A4,,Municipal ,2009,Pre2018,BULK,Tqk59306,6/29/2009,6.87,,61.9,,0.33,,0.01,1.02,,0.01,6.54,,0.01,0.22,,0,0.31,,0,0.02,,0,0.53,,0,3.98,,0.01,847,,8.4,0,,-11,51.2,,4.6,664.2,,8.8,0.93,,0,9.9,,3.1,13.9,,0.9,51.5,,1.2,298.5,,2.1,3.1,,0.6,7.3,,0.2,22.1,,0.4,162.4,,0.7,218.9,,1.7
