Sample Name,Waste Stream Source,Year collected,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
dimock #1 A2,Loam Mix,2011,BULK,Tqk59304,40849,8,,30.62,,0.33,,0.01,3.87,,0.01,15.22,,0.02,0.46,,0,0.31,,0,0.04,,0,1.13,,0.01,2.23,,0.01,2775,,17,30.4,,6.9,81.1,,6.3,605.1,,9.9,1.82,,0,19,,4.8,30.6,,1.3,77.6,,1.7,203.9,,2,6.6,,0.9,7.8,,0.3,48.4,,0.5,140.4,,0.8,165.1,,1.7
dimock #1 A3,Loam Mix,2011,BULK,Tqk59304,40849,8,,30.43,,0.36,,0.01,3.98,,0.01,15.25,,0.02,0.47,,0,0.32,,0,0.04,,0,1.15,,0.01,2.29,,0.01,2752,,17,36.3,,7.4,86,,6.4,597,,9.9,1.92,,0,16.8,,4.7,29,,1.3,77.7,,1.7,219.7,,2.1,6.1,,0.9,8.5,,0.3,46.8,,0.5,145.2,,0.8,162.3,,1.8
Dimock #1 A1,Loam Mix,2011,BULK,Tqk59304,40849,8,,26.64,,0.32,0.02,0.01,4.01,0.07,0.01,16.08,0.49,0.02,0.47,0.01,0,0.3,0.01,0,0.04,0,0,1.16,0.01,0.01,2.12,0.09,0.01,2794,21.03,17,33.7,2.96,7.2,81.7,2.67,6.5,593,6.16,10,2.01,0.09,0,< 18,1.56,-13,26.2,2.23,1.3,75.1,1.47,1.7,198.1,11.18,2.1,6.9,0.4,1,7.4,0.56,0.3,51.3,2.28,0.5,147.7,3.71,0.8,153.8,5.88,1.7
Dimock #2 A1,Loam Mix,2011,BULK,Tqk59304,40849,8,,35.65,,0.4,,0.01,3.87,,0.01,14.98,,0.02,0.5,,0,0.36,,0,0.02,,0,1.13,,0.01,2.49,,0.01,2775,,17,21.8,,5.9,67.5,,6.1,610,,10,1.81,,0,18.4,,4.8,25.3,,1.3,64.8,,1.6,210,,2.1,7.6,,1,8.8,,0.3,49.8,,0.5,137.4,,0.8,141.1,,1.6
Dimock #2 A2,Loam Mix,2011,BULK,Tqk59304,40849,8,,34.3,,0.4,,0.01,4.26,,0.01,16.87,,0.02,0.53,,0,0.37,,0,0.02,,0,1.23,,0.01,2.54,,0.01,2900,,18,< 24,,-21,81,,6.6,628,,10,1.96,,0,20,,5.3,27.4,,1.4,64.3,,1.6,210.7,,2.2,7.2,,1,8.7,,0.3,49.5,,0.5,149.4,,0.8,148.1,,1.7
Dimock #2 A3,Loam Mix,2011,BULK,Tqk59304,40849,8,,35.15,,0.41,0.01,0.01,4.22,0.22,0.01,17.14,1.18,0.02,0.53,0.02,0,0.37,0,0,0.03,0,0,1.29,0.08,0.01,2.42,0.06,0.01,2998,111.77,19,31.8,7.07,7.4,243.3,97.83,8.8,608,11.02,11,2.01,0.11,0.01,20.8,1.22,5.4,30.5,2.62,1.4,58.3,3.62,1.6,189.3,12.16,2.1,3.6,2.2,0.8,7.9,0.49,0.3,52.7,1.77,0.6,144.5,6.03,0.8,147.4,3.86,1.8
RH West #1 A1,Loam Mix,2011,BULK,Tqk59304,40821,7,,27.32,,0.23,,0.01,4.23,,0.01,17.13,,0.02,0.42,,0,0.24,,0,0.01,,0,1.07,,0.01,1.94,,0.01,3070,,18,27.7,,7,87.9,,6.7,619,,10,2.13,,0.01,22.3,,5.4,34.1,,1.5,92.2,,1.9,227,,2.2,5.5,,0.9,7.9,,0.3,53.9,,0.6,149.1,,0.8,220.4,,2.1
RH West #1 A2,Loam Mix,2011,BULK,Tqk59304,40821,7,,20.17,,0.23,,0.01,4.3,,0.01,17.37,,0.02,0.42,,0,0.25,,0,0.01,,0,1.08,,0.01,1.84,,0.01,2899,,18,23.8,,6.3,87.1,,6.8,538.2,,9.7,2.05,,0,25.9,,5.7,32.5,,1.4,80.3,,1.8,212.5,,2.1,7,,1,7.7,,0.3,51.9,,0.5,134.8,,0.8,196.8,,1.9
RH West #1 A3,Loam Mix,2011,BULK,Tqk59304,40821,7,,17.57,,0.27,0.02,0.01,4.63,0.21,0.01,18.2,0.56,0.02,0.45,0.02,0,0.28,0.02,0,0.01,0,0,1.15,0.04,0.01,2.07,0.12,0.01,3125,117.86,19,30.1,3.18,7.4,89.2,1.06,7,651,58.13,11,2.12,0.04,0.01,20.4,2.79,5.5,33.3,0.8,1.5,74.4,9.07,1.8,211,8.84,2.2,6.9,0.84,1,7.4,0.25,0.3,67.2,8.32,0.6,152.9,9.54,0.9,197.3,13.48,2
Rocky Hill 1.1,Loam Mix,2015,BULK,,,,,,,0.982,,0.014,6.079,,0.016,24.55,,0.03,0.3663,,0.0018,0.2591,,0.001,0.02009,,0.001,1.718,,0.009,1.762,,0.008,3296,,21,< 27,,-11,96.4,,7.8,528,,12,2.28,,0.006,30.4,,8.1,64.9,,2.3,55.2,,2,152.5,,2.4,< 3.2,,-2.5,7.7,,0.3,77.3,,0.8,142.1,,1,158.8,,2.2
